Название,Автор,Ссылка,Рейтинг,Количество голосов,Цена,Количество страниц,Количество отзывов,Текст отзывов,Возраст,Год
Численные методы и машинное обучение в метрологии,А. С. Степашкина,https://www.litres.ru/book/a-s-stepashkina/chislennye-metody-i-mashinnoe-obuchenie-v-metrologii-70883221/,0,,960 ₽,Объем 145 страниц,,[],Возрастное ограничение: 0+,Дата написания: 2024
Гид по Computer Science. Расширенное издание,Вильям Спрингер,https://www.litres.ru/book/vilyam-springer/gid-po-computer-science-rasshirennoe-izdanie-64082076/,"4,3",4,599 ₽,Объем 304 страницы,2,"['Хороший справочник по основным темам, с которыми сталкивается программист в повседневной жизни. Это книга на 300 страниц, поэтому не стоит ожидать в ней исчерпывающей справочной информации. Но как отправная точка для ознакомления с основными темами программирования – это просто великолепный экземпляр.', 'Комплекс ценных сведений для практикующих программистов. Я, как программист, часто сталкиваюсь с ситуациями, когда проблема в разработке связана с недостатком глубины понимания подчас базовых понятий теории. Книга здорово помогает восстановить знания полученные в вузе, или даже компенсировать недостаток в образовании.']",Возрастное ограничение: 16+,
Грокаем технологию Биткоин,Калле Розенбаум,https://www.litres.ru/book/kalle-rozenbaum/grokaem-tehnologiu-bitkoin-51797872/,"3,1",18,699 ₽,Объем 496 страниц,2,"['Пожалуй, одно из самых подробных описаний самой технологии блокчейна биткойн. Без большого математического аппарата, что важно, но все-таки очень детализированно разбирается механизм трансакций, хеширования, подтверждения. В сравнении с «Блокчейном» Имрана Башира более популярная – можно читать и не только математикам и программистам. Для специалистов по блокчейну на мой взгляд, must have. Для начинающих – излишне подробно, но все равно будет понятно. Рекомендую', '#Прочитал за 10 часов.Читая книгу я подумал что такое не мог создать человек, это очередной дар новой технологии человечеству от «бога», как было много раз до этого (колесо, химия, электричество, интернет)Возможно, человеку который всю свою жизнь с детства занимается только математикой и криптографией, и тесно связанным с эгрегором в этом направлении, «бог» дал эту технологию из пространства вариантов как самому достойному в этой области, когда решил что пора человечеству совершить очередной подъём на следующую ступеньку в цепочке эволюции .Теперь всё по возможности будет строится вокруг этой новой технологии, появятся новые идей и изобретения.']",Возрастное ограничение: 0+,Дата написания: 2019
"Python, Django и PyCharm для начинающих",Анатолий Постолит,https://www.litres.ru/book/anatoliy-postolit/python-django-i-pycharm-dlya-nachinauschih-67727943/,"4,1",10,544 ₽,Объем 465 страниц,5,"['Согласен с теми, кто пишет, что это лучшая книжка для новичка. Автор всё подробно описывает - что он делает, зачем. Ни так, как в многочисленных курсах ""галопом по Европам"". Однако, надо быть осторожным, не пугаться. Во-первых, версии Django меняются, и что-то из примеров может ""вдруг не заработать"" (например, в 4й версии вместо url надо использовать re-patch) и т.п. мелочи. Поэтому, видимо, учиться лучше на той версии, которую описывает автор. Во вторых, в книге есть небольшие опечатки в коде и неточности. Например, в тексте ""вдруг"" появляется раздел ""Мои книги"", но в процессе описания создания о нём нет ни слова. И, однажды, появилась, а потом ""пропала"" из модели переменная, которая позже опять ""всплыла"". Но, как не парадоксально, такие ошибки, как-раз, заставляют думать ""почему у меня не получилось? как так?"". Для обучения такие вопросы намного важнее, чем 100 страниц теории. Если бы не было таких опечаток, наверное книга была бы намного скучнее :) Тем более, что автор берёт за основу примеры из уже известных описаний в интернете, которые, если не получается совсем ничего понять, можно найти и разобрать уже с другой точки зрения. И ещё раз - думаю, что пока это лучшая книга для новичков, рекомендую начинать именно с неё.', 'Олег в начале автор работает с регулярными выражениями. я опять вернулся к книге спустя время. и снова возникла ошибка с запуском куска кода с регуляркой. вертел - крутил, причем время прошло прилично с тех пор. так и не решил ничего, пошел дальше.', 'автору перед публикацией своего труда следовало бы действительно обратиться к ""начинающим"", это раз. материал изложен нелогично и непоследовательно, самому питону уделено совсем немного, книга не про то как научиться на питоне. несмотря на то, что с питоном был знаком ранее, эту книгу осилить сложно, зачем и что автор делает непонятно..', 'User40078-33, здравствуйте. Удивительно читать ваше мнение о книге. Да, автор не уделял особого внимания Питону, а сконцентрировался на рассказе как работать с фреймворком Django. Мой молодой коллектив освоили работу с ним по этой книге, правда прибегали к официальной документации и другим источникам, чтобы разобраться. Но проекты в книге рабочие. Мы применили Bootstrap 5 и всё очень хорошо работает. Но эта книга для начинающих.', 'Неточностей и опечаток довольно много. Если бы я так курсаки на физмате клепал - меня бы с 1-го курса погнали, и поделом. Это не изложение материала, а ""Что? Где? Когда?"". Любителям квестов самое то. А я убил кучу времени, устраняя ошибки в изложении и даже в листингах. Твердый ""неуд""', 'Виктор кац, здравствуйте. Много ошибок в электронной версии. Но когда код формируете самостоятельно, понимая, что для чего, то многое легче. Я пользовался и печатной версие, чтобы вникнуть в суть написанного. Мне помогает использование бумажная книга. Качество её тоже не ахти, но другой такой нет.Советую читать начинающим работать с Django и применять современные технологии для достижения значимых результатов.', 'Только, что начал читать. По началу, могу сказать, что это  самая доходчивая книга по азам Django. Думаю она должна понравится многим.', 'Отлично подойдет начинающим разработчикам, которые хотят не только освоить Python, но и научиться проектировать и программировать проекты.']",Возрастное ограничение: 0+,Дата написания: 2021
Дискретная математика для программистов,Род Хаггарти,https://www.litres.ru/book/rod-haggarti/diskretnaya-matematika-dlya-programmistov-2785815/,"4,0",61,199 ₽,Объем 401 страница,4,"['Отличная книга! Боялся ее открывать, но изложение ведется от простого к сложному, и если выполнять все упражнения по ходу и не забегать вперед – то весь материал усваивается. Мир дискретной математики стал ближе. Рекомендую даже школьникам, которым продстоит сдавать ЕГЭ по информатике.', 'Хорошая книга.Я использовал эту книгу при изучения основ дискретной математики. Этому способствовали простота изложения и доходчивость примеров. Правда, в некоторых местах не хватало глубины подачи материала, из-за чего приходилось обращаться к другим, более серьезным учебникам. Наличие задач в конце каждой главы и ответов к ним позволяет самостоятельно проконтролировать усвоение теории. На мой взгляд, книга подойдет как студентам младших курсов, так и специалистам, у которых дискретная математика и программирование не являются основными предметами.', 'Книга очень полезная для для любого желающего легко и просто строить логические связи и взаимоотношения с цепочках последовательностей. Я по этой книге учил свою 15 летнюю внучку искать оптимальный путь написания программ при изучении программирования в школе. Для нее материал книги не был сложен. Она достаточно просто и легко его усваивала.', 'Отличный учебник для первоначального знакомства с представленными разделами. Простой, доступный, иллюстрированный интересными примерами и приложениями рассмотренных концепций в информатике. Из недостатков можно указать то, что маловато задач для закрепления. Также не помешала бы глава о теории чисел. В любом случае, учебник вполне заслуживает 5 звёзд.']",Возрастное ограничение: 0+,Дата написания: 2002
Python. Самое полное руководство по разработке в примерах от сообщества Stack Overflow,Коллектив авторов,https://www.litres.ru/book/raznoe-4340152/python-samoe-polnoe-rukovodstvo-po-razrabotke-v-primerah-ot-70338082/,"5,0",3,599 ₽,Объем 674 страницы,1,"['Эта книга будет полезна как для начинающих изучать Python, так и для более опытных программистов, из неё всегда можно ""подчерпнуть знаний""']",Возрастное ограничение: 16+,Дата написания: 2023
Экстремальное программирование. Разработка через тестирование,Кент Бек,https://www.litres.ru/book/kent-bek/ekstremalnoe-programmirovanie-razrabotka-cherez-testirovanie-164068/,"4,3",65,599 ₽,Объем 251 страница,19,"['Отличное введение в TDD от автора методологии. Приводятся примеры применения этой методологии на Java и Python. Книга нисколько не устарела. Очень рекомендую к ознакомлению.', 'Актуально по сей день, таковым и останется. Материал, изложенный в книге, дополнен практическими примерами и реальным опытом автора. Обязательно к прочтению !', 'Для новичка в TDD книга вполне годная для первых шагов, с оговоркой не как единственная а как дополнение к фундаментальным (от Дядюшки Боба Мартина). Мне кажется, что у Ошероува тема раскрыта более детально. Но, надо понимать, что каждый автор рассматривает тему немного иначе чем другие и чем больше таких точек зрения «проглотит» увлечённый читатель тем более ярко она осядет у него в сознании.Практикую TDD повседневно, давно уже не новичок, и всё равно было увлекательно прочитать изложение автором своего опыта и мыслей.', 'Мы внедрили Test-Driven-Development Кента Бека в свою практику, процент покрытия тестами улучшился, пришло понимание как рефакторить код.Благодаря примерам из этой книги у меня открылись глаза на мир юнит-тестов.Как всегда говорил Олежик: не нужно сразу прогонять интеграционный тест, давай сначала протестируем кусочек функциональности, формулу или мини-расчёт, чтобы проверить правы мы или ошибаемся!Эта книга позволит понять ассёрты и прочие заковыристые подходы к проверке работоспособности кода по дороге от «красной до зелёной полоски».Искренне рекомендую данную книгу: отличный перевод и прекрасное содержание!', 'Довольно необычный подход, имеющий право на жизнь. Иногда возможно лучший среди шаблонных!Автору большое спасибо за нестандартный подход и напоминание о постоянном поиске лучшего варианта решения задачи']",Возрастное ограничение: 12+,Дата написания: 2003
Программируем с PyTorch. Создание приложений глубокого обучения (pdf + epub),Ян Пойнтер,https://www.litres.ru/book/yan-poynter-27650377/programmiruem-s-pytorch-sozdanie-prilozheniy-glubokog-64082211/,"3,6",5,499 ₽,Объем 256 страниц,2,"['Книга хорошая, темы разобраны правильные, есть дополнительные материалы. Однако, издательство Питер как всегда – переводчик видимо незнаком с терминологией, поэтому вещи типа «долгая краткосрочная память» в порядке вещей. Плюс, весь код поломан – идёт обращение не к тем объектам, табуляция кода неверная (А в python это самая главная вещь), при этом на GitHub, куда нас отсылает автор, с кодом всё в порядке. В общем, если есть хоть какое-то знание английского, читайте в оригинале, тем более всего 250 страниц. Ну а издательству позор', 'Отличная книга: историческая справка, примеры кода, всё объяснено, задето много разных тем, но при этом на достаточно не глубоком уровне. Как введение в нейронные сети и PyTorch – однозначно, да.']",Возрастное ограничение: 16+,Дата написания: 2019
Python и анализ данных,Уэс Маккинни,https://www.litres.ru/book/ues-makkinni-10688670/python-i-analiz-dannyh-22805830/,"3,7",98,890 ₽,Объем 484 страницы,9,"['Замечательная книга. Но ужасный формат предоставления – не работает навигация по книге, поиск по слову. Если это не пугает – рекомендую. Пожалуйста, доработайте формат предоставления информации в книге.', 'Книга хорошая, но вот формат в котором она продается не удобный. После оплаты предоставляется возможность чтения через браузер – не поиском не воспользоваться, не код скопировать, плюс содержание не интерактивное, постоянно приходится работать колесиком мыши. Жалею о потраченных деньгах!!!', 'Книга хорошая, автор крут, но кто-то (не знаю кто, издатели или представители автора) совсем оборзел. За такие деньги никакого документа, отвязанного от навязчивого и зверски неудобного браузера ЛитРеса (невозможно даже масштабирование текста, а у меня плохое зрение). И по ссылкам учебные материалы найти не удалось, сайты мёртвые. (((', 'Книга хорошая. Подробно описывает основные возможности библиотек , используемых для анализа данных. Требует хотя бы минимального уровня владения языком Python. Несколько лет назад купил оригинальное издание на английском. Теперь купил переводное издание. Перевод нормальный', 'Замечательная книга. Очень помогла разобраться с основами анализа данных на python. Думаю, что для многих людей, желающих заняться машинным обучением и анализом данных, эта книга подойдет как нельзя лучше.']",Возрастное ограничение: 0+,Дата написания: 2013
"Хороший код, плохой код. Паттерны и антипаттерны мастерства",Том Лонг,https://www.litres.ru/book/tom-long/horoshiy-kod-plohoy-kod-patterny-i-antipatterny-masterstva-70297336/,"5,0",1,549 ₽,Объем 427 страниц,,[],Возрастное ограничение: 0+,Дата написания: 2021
Программирование на языке Lua,Роберту Иерузалимски,https://www.litres.ru/book/robertu-ieruzalimski/programmirovanie-na-yazyke-lua-9998731/,"4,1",30,519 ₽,Объем 384 страницы,5,"['Книга то хорошая, но почему я не могу взять pdf файл? Почему открывается на компьютере только в браузере? Читать так тяжело, пометок в тексте нельзя поставить, и поиск не работает по тексту. Зря только деньги заплатил.', 'Замечательная книга. Особенно радует, когда автором книги является соавтор данного языка программирования. Как говориться, обучение из первых уст. А это дорого стоит.', 'Отличная книгаКнига порадовала. Всё чётко по существу. Не для обучения программированию вообще, а для программированию на LUA. Если имеете навыки программирования и хотите освоить доп. язык – рекомендую.', 'Сама книга хорошая но читалка онлайн убогая, а скачать невозможно. Не рекомендую к покупке на данном сайте. Лучше уж печатный вариант заказать', 'Книга отличная, но да раньше можно было скачать отдельный PDF. В последнее время возможность скачивания книг вы урезали, очень жаль.trufo, найдите меня по нику. Помогу.']",Возрастное ограничение: 0+,Дата написания: 2013
#Сам себе программист. Как научиться программировать и устроиться в Ebay,Кори Альтхофф,https://www.litres.ru/book/kori-althoff/sam-sebe-programmist-kak-nauchitsya-programmirovat-i-ustroits-33397888/,"4,1",128,299 ₽,Объем 210 страниц,25,"['Отличная книга чтобы начать программировать, для начинающих, которые обучаются самостоятельно с помощью книг и интернета. В этой книге вы узнаете об основах программирования на python, а затем углубитесь в более продвинутые темы. Думаю, вы не пожалеете о покупке этой книги.', 'Местами корявый перевод. Отступы в коде не везде соблюдены.Некоторые задачи переведены так, что вы будете долго ломать себе голову, пока не глянете в ответы и не поймете, что что-то не так св условием, а не вами. В целом хорошая книга, со скидкой так вообще супер по соотношению цена/качество. Но в любом случае готовьтесь к тому, что вам придется еще много чего сделать после этой книги.', 'Прочёл замечательную книгу Кори Альтхоффа о том, как стать программистом. Помимо элементарного введения в язык Python это издание очень выгодно отличает почти пошаговый план обучения и освоения навыкам программирования из реальной жизни. Автор не только называет ключевые действия для освоения этой нужной и интересной профессии, но даёт конкретные советы и рекомендации, как это лучше сделать. Любопытно, что книга основана на реальном опыте, позволившем автору получить настоящую работу по IT-специальности. При этом книга написана очень легко и живо.Очень рекомендую к прочтению.', 'Читал эту книгу на английском, а в русский перевод лазил если было совсем не понятно.Сама книга (оригинал на английском) отличная, а вот русский перевод не понравился.Переводчик зачем-то меняет местами порядок изложения внутри глав, добавляет своё (примеры кода, упражнения, дополнительные функции, которые не освещаются в оригинале). Вроде бы полезно, но не совсем понятно зачем. Перевод – это перевод, а не отсебятина.В дополнительных упражнениях, которых нет в оригинале, много ошибок. Условия задач поставлены размыто, из-за чего непонятно, что именно от тебя требуется.Для выполнения некоторых упражнений требуется знать материал, который в главе вообще не разобран(!). Узнать об этом можно только если заглянуть в ответы.Тем не менее книга хорошая, даже при таком не самом удачном переводе.Но всё же лучше читать оригинал, периодически заглядывая в русскую версию для дополнений.Оценка 4, исходя из качества перевода. Оригиналу 5.', 'Читаю восторженные отзывы о книге и удивляюсь. На каких новичков она рассчитана? Написано настолько сложно, что мозг просто закипает. Будучи нулем в программировании я итак непросто усваиваю массу терминов, синтаксис, функции и так далее, так еще и предложения построены невыносимо для чтения. Может мой мозг абсолютно не заточен под программирование, но… Просто зацените эту цитату: «Левая часть инструкции сверху определяет функцию, f, принимающую один параметр, x. Правая часть – определение функции, которое использует переданный параметр (x), чтобы произвести вычисление и вернуть результат (вывод).» Прямо академическое чтиво, но уж точно не для профанов в программировании((((']",Возрастное ограничение: 12+,Дата написания: 2017
Расширения ядра Linux: драйверы и модули,Олег Цилюрик,https://www.litres.ru/book/oleg-cilurik/rasshireniya-yadra-linux-drayvery-i-moduli-70297339/,0,,549 ₽,Объем 685 страниц,,[],Возрастное ограничение: 0+,Дата написания: 2023
PHP и MySQL. 25 уроков для начинающих,Владимир Дронов,https://www.litres.ru/book/vladimir-dronov/php-i-mysql-25-urokov-dlya-nachinauschih-66338142/,"5,0",4,449 ₽,Объем 426 страниц,5,"['Автор не только прекрасный программист, но и обладает редким талантом – умение доходчиво объяснять. Сейчас – это большая редкость. Особое внимание уделяется терминологии. Необходимые для работы термины прописаны четко, понятно и профессионально. Материал усваивается легко и без напряжения. Надо быть просто внимательным. Такую книгу однозначно надо держать всегда под рукой всем, кто имеет отношение к верстке сайтов.', 'Купил книгу по абонементу за 1 рубль!!! Не поверил своим глазам! Поверил только тогда, когда купил и открыл для чтения. Это была акция, которая заканчивается в феврале. Я подписался на акцию – 299 руб в месяц. Эти затраты на повышение собственных знаний – лучшее вложение денег за всю жизнь. На Литрес всегда есть, что купить. Теперь о книге. Доволен на 100%. Написано профессионально и доходчиво. Для начинающих – то, что надо. А самое главное – это перспективно и всегда можно заработать в этой сфере. Рекомендую всем.', 'Отличная подача материала. Понятные и, главное, исчерпывающие объяснения. То автор не просто по верхам прошелся, но копнул довольно глубоко. Ещё что мне нравится в книгах Владимира Дронова, по крайней мере в этой серии, что если даже встречается что-то, что на текущем этапе всречается в первый раз и ещё не было объяснено, можно не сомневаться в объяснении этого понятия буквально на следующей странице. Это в отличии от многих книг, которые говорят ""А"", а с ""Б"" будьте любезны сами разбираться. В итоге в этих книгах материал понять в полном объеме. Класс!', 'Для изучения PHP и MySQL по данной книге нужно знать HTML и CSS. Для предпоследней главы нужно знать JavaScript. Даны упражнения с подробным разбором, в результате выполнения которых всё отлично запоминается.', 'Отличная книга от известного автора. В настоящее время веб-приложения очень актуальны, особенно динамические веб-сайты с использованием реляционных баз данных. Все по полочкам разложено, как надо. Для новичка самое то. Автор молодец!', 'vvvital, Баллы отзывами непрочитанных книг зарабатываете?Читая Ваши однотипные отзывы под разными книгами невольно возникает дежа-вю. Возвращаюсь - и правда, читала уже то же самое под другой книгой!Модераторы, обратите внимание на этого ""читателя""... Пример другого отзыва тут: https://www.litres.ru/vladimir-dronov/php-mysql-html5-i-css-3-razrabotka-sovremennyh-dinamicheskih-web-saytov-pdf-epub-19213333/otzivi/']",Возрастное ограничение: 0+,Дата написания: 2020
Unity в действии. Мультиплатформенная разработка на C# (pdf + epub),Джозеф Хокинг,https://www.litres.ru/book/dzhozef-hoking/unity-v-deystvii-multiplatformennaya-razrabotka-na-c-42225637/,"3,9",16,799 ₽,Объем 448 страниц,4,"['Книга для начинающих программистов на Unity, книга неплохая. Недостатки есть, опечатки не всегда корректный перевод не всегда очевидные вещи, в общем все как обычно для переводной книги. Знание С# необходимо еще более необходимо знание построения алгоритмов. ', 'Если опыта 0, лучше присмотреть другую книгу. Толком никаких объяснений. Куски кода приведенные в книге непонятно куда «пихать». Уже на стадии кода генерирующего врагов, стала вылетать ошибка в игре, а о ней в книге ничего не написано. Скрипт генерации огнешаров – непонятно куда дописывать и при переносе в функцию Update() выдает вагон ошибок компиляции', 'Книга для начинающих разработчиков Unity – хорошая, почти отличная! В ней есть опечатки и немного неверный перевод. В принципе для меня это единственные минусы. Книга объясняет базовую работу с движком, в 3D и 2D. Для старта очень даже ничего, но советую читать в оригинале.', 'Купил книгу в печатном виде. Я только нервы сорвал( ничего не получилось, много воды, а где то наоборот не достаточно объяснений. Не советую покупать эту книгу.']",Возрастное ограничение: 16+,Дата написания: 2022
Введение в рекурсивное программирование,Мануэль Рубио-Санчес,https://www.litres.ru/book/manuel-rubio-sanches/vvedenie-v-rekursivnoe-programmirovanie-43643419/,"5,0",2,990 ₽,Объем 438 страниц,,[],Возрастное ограничение: 0+,Дата написания: 2018
Akka в действии,Раймонд Рёстенбург,https://www.litres.ru/book/raymond-restenburg-21050895/akka-v-deystvii-48411239/,"4,3",3,790 ₽,Объем 524 страницы,1,"['Отличная книга! Полностью раскрываются основы акторной системы. Единственный минус, что версия классическая, в отличие от новой – типизированной']",Возрастное ограничение: 0+,Дата написания: 2017
Нейросети начало,Джейд Картер,https://www.litres.ru/audiobook/dzheyd-karter/neyroseti-nachalo-69246082/,"4,7",29,"174,50 ₽",Длительность книги 3 ч. 07 мин.,1,"['Книга полезна, хоть и много кода для аудио версии. Всегда можно вернуться к электронной версии и взять код. Для начала понимания нейронных сетей самое то.']",Возрастное ограничение: 12+,Дата написания: 2023
Автоматизация рутины в Excel VBA. Лайфхаки для облегчения скучных рабочих задач,Виктор Николаевич Шитов,https://www.litres.ru/book/viktor-shitov/avtomatizaciya-rutiny-v-excel-vba-layfhaki-dlya-oblegcheniya-69230242/,"4,4",5,239 ₽,Объем 450 страниц,,[],Возрастное ограничение: 12+,Дата написания: 2023
JavaScript. 20 уроков для начинающих,Владимир Дронов,https://www.litres.ru/book/vladimir-dronov/javascript-20-urokov-dlya-nachinauschih-66338206/,"4,4",10,520 ₽,Объем 347 страниц,5,"['Недавно закончил изучать эту книгу. Могу сказать что она неплоха . В ней дается много практических заданий - практически после каждого параграфа идет упражнение.  В конце каждой главы идут самостоятельные задания , которые позволяют проверить полученные знания.  Мне удалось изучить эту книгу менее или около полугода , но уже на середине книги я создал свое первое веб приложение. Рекомендую к прочтению .', 'Владимир Дронов – автор такой «мини библиотеки» для начинающего программиста, которым я и являюсь. Я купил уже одну его книгу «HTML и CSS. 25 уроков для начинающих» и остался очень доволен. Наверное, это лучшее вложение в моей жизни. :) Как всегда, ежемесячно покупаю по 4 книги по абонементу (4-я – бесплатно!). Теперь о книге. Автор с первых строк берет быка за рога. Ни воды, ни лирики, в общем – ни одного лишнего слова. А лишние, не информационные слова – это наше время. Из множества книг выбрал эту для себя и нисколько не жалею. Рекомендую.', 'Для изучения JavaScript по данной книге нужно знать только HTML и CSS. Даны упражнения с подробным разбором, в результате выполнения которых всё отлично запоминается.', 'Понравилась книга автора про html, думал, что и в этой книге автор применит аналогичный подход. Но этого не произошло почему-то. Изложение краткое, сумбурное, теории много, закрепления непропорционально мало, самостоятельные упражнения новичку со средними способностями выполнить порой нереально.', 'Весьма хорошая и толковая книга от известно автора и программиста с многолетним стажем. Отличная книга от известного автора. В настоящее время веб-приложения очень актуальны. Все по полочкам разложено, как надо. Для новичка самое то. Автор молодец!']",Возрастное ограничение: 0+,Дата написания: 2020
Основы Java,Николай Прохоренок,https://www.litres.ru/book/n-prohorenok/osnovy-java-39288481/,"3,9",18,449 ₽,Объем 765 страниц,4,"['Материал очень хорошо изложен. Весьма достойная книга по Java. Местами встречается излишнее описание методов и пр., что можно посмотреть и в java doc и отсутсвует вывод работы классов(он присутствует в комментариях, но не всегда). Книга позволяет запоминать и делать выводы, что хорошо сказывается на усвоении материала. Отлично подойдёт для новичков(джуниуров) и тех «кто знал, но забыл».', 'mikluchomaklay3, ахахаххаах лол я скачал эту книгу бесплатно и экономил 400рубл', 'Всем привет! Как по мне эта книга просто отличная находка для новичков которые хотят изучить основы Java, в ней очень понятно расписано абсолютно ВСЁ что нужно знать новичку. При необходимости её можно использовать как справочник) Всем кто хочет начать изучать Java советую начать именно с этой книги!', 'я его купил в этой программе чтобы читать было удобно , но pdf формат здесь не настроен это дико напрягает неудобно читать , читаешь все летает листнул или задел экран теряется страница уходит на середину это вообще бесить как так можно , за такие купил чтобы разочароваться.', 'Shumkarbek Rahmanov, чел я скачал это бесплатно', 'Изучил достаточное количество книг по Джаве для начинающих (Head First, Полное руководство Шилтда, Эффективное программирование Блоха) и с уверенностью могу сказать, что именно эта книга по-настоящему может открыть глаза на мир программирования для новичка. Однозначно рекомендую к прочтению, если вы новичок или пришли с другого языка']",Возрастное ограничение: 0+,Дата написания: 2019
